x,y,z,vx,vy,vz
0.0,0.0,0.0,20.0,20.0,20.0
1.0,0.0,0.0,20.0,20.0,20.0
1.0,1.0,0.0,20.0,20.0,20.0
0.0,1.0,0.0,20.0,20.0,20.0
0.0,0.0,10.0,20.000000006275968,19.999999998475747,-7.177937145000493
1.0,0.0,10.0,20.000000006306767,19.999999998452452,-7.177937144131311
1.0,1.0,10.0,20.00000000628421,19.999999998505807,-7.177937144320176
0.0,1.0,10.0,20.000000006252602,19.999999998528725,-7.1779371451897145
0.2499999999994121,0.0,0.0,20.0,20.0,20.0
0.499999999998694,0.0,0.0,20.0,20.0,20.0
0.7499999999993416,0.0,0.0,20.0,20.0,20.0
1.0,0.2499999999994121,0.0,20.0,20.0,20.0
1.0,0.499999999998694,0.0,20.0,20.0,20.0
1.0,0.7499999999993416,0.0,20.0,20.0,20.0
0.7500000000003465,1.0,0.0,20.0,20.0,20.0
0.5000000000020591,1.0,0.0,20.0,20.0,20.0
0.2500000000010404,1.0,0.0,20.0,20.0,20.0
0.0,0.7500000000003465,0.0,20.0,20.0,20.0
0.0,0.5000000000020591,0.0,20.0,20.0,20.0
0.0,0.2500000000010404,0.0,20.0,20.0,20.0
0.2499999999994121,0.0,10.0,20.000000006282775,19.99999999847055,-7.1779371447833915
0.499999999998694,0.0,10.0,20.000000006289707,19.9999999984648,-7.177937144566224
0.7499999999993416,0.0,10.0,20.00000000629748,19.99999999845872,-7.177937144348646
1.0,0.2499999999994121,10.0,20.000000006300784,19.99999999846655,-7.177937144178474
1.0,0.499999999998694,10.0,20.000000006294865,19.999999998479787,-7.177937144225775
1.0,0.7499999999993416,10.0,20.000000006289287,19.999999998492424,-7.177937144273033
0.7500000000003465,1.0,10.0,20.000000006274863,19.999999998511324,-7.177937144537748
0.5000000000020591,1.0,10.0,20.000000006267445,19.99999999851672,-7.177937144755537
0.2500000000010404,1.0,10.0,20.000000006260528,19.999999998522185,-7.177937144973016
0.0,0.7500000000003465,10.0,20.00000000625922,19.999999998514586,-7.17793714514271
0.0,0.5000000000020591,10.0,20.000000006264788,19.99999999850194,-7.177937145095259
0.0,0.2500000000010404,10.0,20.000000006270383,19.99999999848923,-7.177937145047815
0.0,0.0,0.249999999999819,20.000000000009166,20.000000000005635,19.320551571320497
0.0,0.0,0.4999999999995512,20.000000000028233,20.00000000000842,18.641103142640837
0.0,0.0,0.7499999999993636,20.000000000055035,19.999999999991402,17.961654713975655
0.0,0.0,0.9999999999991893,20.000000000099757,19.99999999997245,17.28220628530976
0.0,0.0,1.249999999998971,20.000000000157474,19.99999999995774,16.602757856632255
0.0,0.0,1.499999999998285,20.000000000234756,19.999999999943885,15.923309427952539
0.0,0.0,1.749999999997556,20.000000000317836,19.999999999920597,15.243860999281253
0.0,0.0,1.999999999996827,20.00000000040411,19.999999999891507,14.56441257060688
0.0,0.0,2.249999999996097,20.000000000497657,19.999999999865018,13.884964141932032
0.0,0.0,2.499999999995368,20.000000000593975,19.99999999983263,13.205515713262391
0.0,0.0,2.749999999994639,20.000000000703455,19.99999999979951,12.526067284585517
0.0,0.0,2.99999999999391,20.000000000830624,19.99999999976648,11.846618855915288
0.0,0.0,3.249999999993181,20.000000000972197,19.999999999727965,11.16717042724809
0.0,0.0,3.499999999992451,20.000000001124448,19.999999999689905,10.487721998593068
0.0,0.0,3.749999999991722,20.000000001278476,19.999999999656048,9.808273569935658
0.0,0.0,3.999999999991027,20.00000000143745,19.99999999961616,9.128825141287273
0.0,0.0,4.249999999991268,20.000000001596117,19.99999999957125,8.449376712640868
0.0,0.0,4.499999999991649,20.000000001768676,19.999999999526903,7.769928283999973
0.0,0.0,4.74999999999203,20.000000001939995,19.999999999477428,7.090479855360795
0.0,0.0,4.999999999992411,20.00000000212072,19.999999999432994,6.411031426722611
0.0,0.0,5.249999999992791,20.000000002311754,19.999999999387303,5.731582998094
0.0,0.0,5.499999999993172,20.00000000250512,19.99999999934049,5.052134569474734
0.0,0.0,5.749999999993553,20.00000000269952,19.999999999291326,4.372686140864231
0.0,0.0,5.999999999993932,20.000000002895458,19.999999999240853,3.6932377122531768
0.0,0.0,6.249999999994314,20.00000000309769,19.999999999193435,3.0137892836534204
0.0,0.0,6.499999999994694,20.000000003300862,19.99999999914533,2.334340855054925
0.0,0.0,6.749999999995076,20.000000003504706,19.99999999909604,1.6548924264587959
0.0,0.0,6.999999999995455,20.000000003709793,19.999999999046167,0.975443997867958
0.0,0.0,7.249999999995835,20.000000003917116,19.999999998996806,0.29599556928591897
0.0,0.0,7.499999999996216,20.000000004126335,19.999999998950443,-0.3834528592940806
0.0,0.0,7.749999999996597,20.000000004337426,19.999999998902492,-1.0629012878719142
0.0,0.0,7.999999999996978,20.00000000455004,19.999999998854555,-1.742349716446398
0.0,0.0,8.249999999997355,20.000000004763898,19.999999998808253,-2.421798145020333
0.0,0.0,8.499999999997733,20.00000000497865,19.999999998761012,-3.1012465735920034
0.0,0.0,8.749999999998112,20.00000000519398,19.999999998713278,-3.78069500216159
0.0,0.0,8.99999999999849,20.000000005410023,19.999999998666304,-4.4601434307300485
0.0,0.0,9.249999999998867,20.00000000562614,19.999999998618755,-5.139591859298029
0.0,0.0,9.499999999999245,20.00000000584267,19.999999998571475,-5.819040287865606
0.0,0.0,9.749999999999622,20.000000006059285,19.99999999852384,-6.498488716433349
1.0,0.0,0.249999999999819,20.00000000001115,19.999999999989836,19.32055157135378
1.0,0.0,0.4999999999995512,20.00000000003012,19.999999999983146,18.64110314273763
